Temperature,Conductivity,PH,Turbidity,ODO,BGA
16.31,1939,8.36,38.55,8.04,0
16.41,1940,8.37,36.44,8.07,0
16.42,1941,8.37,37.06,8.07,0
16.47,1941,8.36,36.73,8.08,0
16.55,1941,8.37,35.8,8.12,0
16.61,1944,8.37,35.54,8.14,0
16.69,1948,8.37,35.39,8.16,0
16.73,1952,8.37,34.63,8.16,0
16.78,1953,8.37,33.53,8.16,0
16.92,1953,8.37,32.74,8.17,0
16.9,1954,8.37,31.85,8.17,0
16.86,1954,8.37,30.76,8.19,0
17.07,1956,8.37,30.17,8.23,0
17.43,1954,8.37,30.52,8.25,0
17.36,1954,8.37,30.09,8.24,0
17.52,1955,8.37,29.57,8.27,0
17.4,1955,8.37,29.79,8.24,0
17.23,1952,8.37,30.14,8.2,0
17.22,1951,8.37,29.59,8.21,0
17.19,1951,8.37,32.13,8.19,0
17.22,1951,8.37,31.42,8.2,0
17.28,1951,8.37,31.75,8.21,0
17.37,1953,8.37,32.04,8.22,0
17.39,1955,8.37,33.12,8.23,0
17.43,1955,8.37,33.38,8.24,0
17.45,1956,8.37,34.16,8.24,0
17.45,1955,8.37,35.51,8.24,0
17.51,1955,8.37,35.02,8.25,0
17.51,1954,8.37,37.26,8.25,0
17.53,1953,8.37,39.62,8.24,0
17.54,1953,8.37,41.38,8.23,0
17.56,1952,8.37,45.83,8.23,0
17.56,1952,8.37,57.97,8.23,0
17.57,1952,8.37,64.86,8.22,0
17.58,1952,8.37,72.95,8.22,0
17.6,1952,8.37,67.84,8.23,0
17.6,1951,8.37,75.09,8.22,0
17.6,1951,8.37,77.16,8.22,0
17.58,1951,8.37,82.7,8.2,0
17.57,1951,8.37,81.99,8.21,0
17.56,1951,8.37,98.89,8.2,0
17.52,1951,8.38,86.06,8.2,0
17.49,1945,8.38,83.92,8.2,0
17.48,1945,8.38,78.26,8.19,0
17.48,1946,8.38,75.63,8.18,0
17.47,1944,8.38,72.19,8.17,0
17.49,1940,8.38,73.02,8.15,0
17.5,1939,8.37,73.53,8.14,0
17.48,1939,8.37,71.05,8.14,0
17.45,1939,8.37,68.46,8.13,0
17.44,1940,8.38,65.92,8.13,0
17.43,1939,8.37,61.45,8.12,0
17.43,1938,8.37,60.48,8.11,0
17.43,1936,8.37,59.65,8.09,0
17.42,1935,8.37,57.93,8.07,0
17.42,1935,8.37,53.58,8.04,0
17.41,1935,8.37,55.68,8.04,0
17.39,1934,8.37,51.52,8.03,0
17.39,1934,8.37,50.98,8.02,0
17.38,1934,8.37,49.63,8.01,0
17.39,1933,8.37,49.19,7.99,0
17.38,1933,8.37,48.11,7.98,0
17.38,1933,8.37,49.19,7.94,0
17.41,1932,8.37,48.42,7.93,0
17.4,1931,8.37,48.73,7.92,0
17.4,1929,8.36,47.41,7.91,0
17.42,1929,8.36,49.03,7.89,0
17.43,1928,8.36,47.55,7.86,0
17.42,1928,8.36,47.14,7.86,0
17.43,1926,8.36,45.71,7.84,0
17.44,1926,8.36,44.88,7.81,0
17.43,1924,8.36,44.95,7.8,0
17.45,1923,8.36,45.06,7.8,0
17.44,1921,8.36,50.36,7.78,0
17.43,1920,8.36,41.94,7.76,0
17.44,1921,8.36,45.11,7.74,0
17.4,1921,8.36,43.06,7.74,0
17.38,1921,8.36,42.88,7.73,0
17.35,1921,8.36,42.54,7.74,0
17.32,1921,8.36,48.65,7.75,0
17.3,1921,8.36,41.52,7.75,0
17.29,1922,8.36,38.08,7.74,0
17.25,1923,8.36,39.08,7.74,0
17.24,1923,8.36,39.3,7.74,0
17.21,1923,8.36,41.39,7.73,0
17.14,1925,8.36,38.84,7.74,0
17.13,1925,8.36,39.19,7.73,0
17.11,1926,8.36,37.47,7.74,0
17.12,1926,8.36,37.74,7.74,0
17.09,1927,8.36,36.04,7.77,0
17.09,1927,8.36,35.79,7.78,0
17.09,1927,8.36,35.96,7.78,0
17.11,1927,8.36,33.94,7.79,0
17.12,1928,8.36,34.07,7.78,0
17.12,1928,8.36,34.05,7.79,0
17.14,1928,8.36,33.09,7.8,0
17.16,1928,8.37,32.28,7.84,0
17.14,1929,8.37,32.06,7.84,0
17.15,1929,8.37,31.57,7.88,0
17.19,1929,8.37,28.72,7.93,0
17.26,1929,8.38,29.9,8.01,0
17.33,1930,8.38,29.74,8.07,0
17.38,1930,8.39,29.44,8.12,0
17.48,1931,8.39,28.83,8.13,0
17.85,1927,8.39,27.47,8.07,0
18.04,1929,8.38,27.18,8.09,0
17.89,1928,8.39,26.9,8.11,0
17.83,1929,8.39,26.16,8.12,0
17.99,1930,8.39,26.3,8.2,0
18.45,1933,8.39,24.98,8.17,0
18.1,1935,8.39,25.31,8.19,0
18.2,1939,8.39,24.34,8.2,0
18.11,1939,8.38,25.37,8.17,0
17.9,1938,8.38,30.8,8.08,0
17.97,1939,8.38,30.6,8.1,0
17.98,1940,8.38,31.7,8.09,0
18.06,1941,8.38,31.29,8.09,0
18.1,1941,8.38,32.57,8.1,0
18.15,1941,8.38,34.15,8.11,0
18.22,1941,8.38,36.59,8.11,0
18.27,1941,8.38,38.45,8.12,0
18.3,1941,8.38,41.66,8.1,0
18.33,1939,8.38,48.02,8.09,0
18.37,1938,8.38,55.27,8.08,0
18.4,1937,8.38,58.35,8.09,0
18.42,1937,8.38,64.6,8.08,0
18.45,1936,8.38,71.85,8.07,0
18.46,1935,8.38,82.63,8.06,0
18.47,1934,8.38,87.53,8.05,0
18.49,1933,8.38,93.77,8.03,0
18.49,1932,8.38,95.6,8.02,0
18.49,1930,8.38,99,7.99,0
18.47,1928,8.38,100.06,7.97,0
18.45,1927,8.38,101.27,7.96,0
18.43,1922,8.37,102.92,7.92,0
18.4,1919,8.37,112.12,7.9,0
18.37,1916,8.37,118.37,7.87,0
18.33,1912,8.37,120.12,7.86,0
18.28,1906,8.37,118.66,7.84,0
18.23,1900,8.37,112.64,7.83,0
18.18,1896,8.36,109.37,7.83,0
18.16,1893,8.36,107.62,7.81,0
18.12,1892,8.36,100.29,7.81,0
18.1,1892,8.36,101.12,7.81,0
18.07,1892,8.36,98.06,7.8,0
18.05,1892,8.36,93.3,7.8,0
18.02,1890,8.36,83.57,7.79,0
17.99,1887,8.36,80.24,7.79,0
17.98,1885,8.36,78.95,7.79,0
17.95,1884,8.37,72.63,7.8,0
17.96,1884,8.37,72.33,7.79,0
17.93,1884,8.37,66.91,7.8,0
17.92,1884,8.37,67.06,7.79,0
17.9,1884,8.37,66.17,7.79,0
17.88,1884,8.37,61.36,7.79,0
17.88,1884,8.37,64.76,7.78,0
17.88,1883,8.37,59.96,7.76,0
17.87,1883,8.37,58.64,7.76,0
17.84,1883,8.37,55.93,7.76,0
17.85,1882,8.37,54.02,7.75,0
17.89,1880,8.37,55.05,7.73,0
