"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-09",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"97",",,7","66",",,7","97",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-10",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"99",",,7","68",",,7","91",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-11",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"99",",,7","65",",,7","84",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-12",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"92",",,7","63",",,7","85",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-13",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"92",",,7","59",",,7","83",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-14",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"92",",,7","58",",,7","89",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-15",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"97",",,7","62",",,7","97",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-16",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"98",",,7","63",",,7","94",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-17",,,,,,,,,,,"0.00","T,,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"98",",,7","63",",,7","97",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-18",,,,,,,,,,,"0.03",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"98",",,7","63",",,7","98",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-19",,,,,,,,,,,"0.39",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"98",",,7","66",",,7","71",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-20",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"93",",,7","65",",,7","87",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-21",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"94",",,7","65",",,7","92",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-22",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"95",",,7","62",",,7","88",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-23",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"94",",,7","63",",,7","92",",,7,1700",,,,,,,,,,,,,,
